wikidata_id,phd_romance,phd_germanic,phd_slavic
Q101384,8.793362915873068,9.199064736884822,8.253000235585425
Q156929,8.802080344828811,9.035379807825668,9.377339802050704
Q320389,7.4533640829848045,7.785796916702939,7.742732241476584
Q7191,9.841664801377974,9.723330958208615,8.99451719554464
Q1122789,8.044202069370584,8.19109752283425,9.563822578349798
Q313323,9.20014255417754,8.937500382440083,8.931281983558378
Q418,7.998153867380189,8.755033948061243,7.986075545978769
Q58734,8.820919928288848,8.288570010286781,7.329833298865175
Q1057,9.016909443566528,9.448358591511287,8.517776432830885
Q13580495,8.585543965341968,8.826416875778833,9.188860681581168
Q10791,8.755579916530252,9.094866344569862,8.943770318640478
Q202558,9.313156537637315,9.130420922260248,8.85601888353057
Q11365,8.911932818522828,9.611823975693111,9.480826049608368
Q45188,8.809410182414123,9.061115122416586,8.830481171779482
